OpenTime,OpenPrice,HighPrice,LowPrice,ClosePrice,Volume,CloseTime,QuoteVolume,Count,TakerBuyVolume,TakerBuyQuoteVolume,Ignore
1650499200000,41358.19,41525.42,41320.47,41458.16,444.23697,1650500099999,18399644.1211955,9981,227.96232,9441380.691583,0
1650500100000,41458.17,41528.43,41405.01,41510.58,255.62853,1650500999999,10599087.3770159,7661,155.194,6434294.5222011,0
1650501000000,41510.57,41538.71,41470.18,41536.71,142.82404,1650501899999,5926638.9685044,6065,84.92351,3524024.4737334,0
1650501900000,41536.72,41569.04,41484.69,41528.1,248.18265,1650502799999,10307507.0704907,7512,141.73419,5886149.8259362,0
1650502800000,41528.1,41565.97,41468.61,41484.25,215.91722,1650503699999,8965552.0513709,6724,86.27077,3582573.7273619,0
1650503700000,41484.25,41675.02,41468.82,41638.49,350.69823,1650504599999,14585016.8602488,9432,221.72491,9220759.5801329,0
1650504600000,41638.49,41785.48,41612.37,41743.79,433.83023,1650505499999,18091908.6171088,11626,253.12437,10555423.7486221,0
1650505500000,41743.8,41743.8,41621.67,41674.49,373.17218,1650506399999,15551878.3646409,8884,170.58027,7108181.5744671,0
1650506400000,41674.48,41723.16,41613.55,41697.27,260.13389,1650507299999,10841698.6511612,8527,104.7463,4365132.2351801,0
1650507300000,41697.28,41723.84,41656.24,41683.66,145.9316,1650508199999,6083451.5833003,7210,57.85658,2411716.8245617,0
1650508200000,41683.66,41695.71,41567.42,41596.91,238.3869,1650509099999,9919703.5455441,9465,104.03956,4328973.691365,0
1650509100000,41596.92,41643.01,41567.92,41623.24,258.96558,1650509999999,10774305.2892182,11997,150.80156,6273629.2156823,0
1650510000000,41623.24,41644.8,41551.68,41613.31,296.82331,1650510899999,12349880.3360524,12135,140.23591,5834171.5977355,0
1650510900000,41613.3,41676.26,41575.1,41650.6,190.83376,1650511799999,7945312.0954744,8912,101.01895,4205771.6422852,0
1650511800000,41650.61,41659.88,41591.1,41650.44,151.30456,1650512699999,6299500.9107551,7126,82.85484,3449543.7238944,0
1650512700000,41650.43,41711.71,41625.25,41693.58,222.20968,1650513599999,9262131.4151772,9053,106.83177,4452634.5141978,0
1650513600000,41693.58,41738.56,41639.99,41727.31,263.15072,1650514499999,10970320.5427571,10690,144.83428,6037945.1536696,0
1650514500000,41727.3,41750.0,41629.0,41630.03,217.42426,1650515399999,9059841.1594318,9935,113.87518,4744421.6311376,0
1650515400000,41630.02,41665.05,41525.0,41580.0,357.76628,1650516299999,14876198.2691203,12663,154.65874,6429659.4467156,0
1650516300000,41579.99,41622.77,41560.95,41610.01,300.30211,1650517199999,12489770.9535407,11219,175.90815,7315568.7027542,0
1650517200000,41610.01,41676.58,41574.16,41668.19,301.7088,1650518099999,12558719.3689609,11113,151.9781,6327318.7628192,0
1650518100000,41668.18,41699.0,41580.0,41602.99,231.70183,1650518999999,9649177.0897031,11443,97.62427,4065553.794733,0
1650519000000,41602.99,41603.0,41455.89,41495.23,329.78284,1650519899999,13694448.9480725,14160,147.19497,6111469.3764877,0
1650519900000,41495.24,41522.82,41434.44,41462.76,366.06589,1650520799999,15179429.8059318,12222,147.1432,6100872.0203931,0
1650520800000,41462.75,41510.0,41419.2,41475.02,283.8425,1650521699999,11770270.1383683,12239,128.01344,5308411.170219,0
1650521700000,41475.01,41513.63,41450.29,41500.15,200.66301,1650522599999,8324038.4793072,9457,96.22311,3991250.3590339,0
