OpenTime,OpenPrice,HighPrice,LowPrice,ClosePrice,Volume,CloseTime,QuoteVolume,Count,TakerBuyVolume,TakerBuyQuoteVolume,Ignore
1635465600000,60575.9,60834.71,60381.82,60447.69,711.57635,1635466499999,43129958.4197664,15417,355.05727,21523972.9457172,0
1635466500000,60447.7,60616.81,60174.81,60394.1,570.48881,1635467399999,34450555.8386506,16089,282.68523,17072009.3349173,0
1635467400000,60394.1,60699.0,60334.84,60668.39,437.63097,1635468299999,26494784.9369924,11038,241.23697,14606474.0141915,0
1635468300000,60668.4,61480.0,60625.3,61388.0,760.81834,1635469199999,46458111.2076956,23524,424.99521,25959425.3082395,0
1635469200000,61388.0,61500.0,61278.43,61290.1,523.598,1635470099999,32132937.4043945,15231,296.40636,18193963.773819,0
1635470100000,61290.09,62100.0,61257.52,61977.84,897.66962,1635470999999,55365470.2402366,30558,530.65358,32740270.3399028,0
1635471000000,61973.97,62019.0,61560.97,61601.95,746.86558,1635471899999,46124966.1067595,18650,304.47809,18811813.2219341,0
1635471900000,61601.96,61638.81,61395.38,61395.38,397.21985,1635472799999,24447679.7880793,12112,176.95862,10890627.588085,0
1635472800000,61394.73,61749.0,61372.86,61633.42,428.89651,1635473699999,26432039.9514131,13708,205.07047,12637582.6097121,0
1635473700000,61633.43,61672.0,61433.26,61496.32,399.5924,1635474599999,24591396.3404575,11081,192.89724,11870715.89273,0
1635474600000,61496.32,61520.47,61305.04,61515.88,327.76819,1635475499999,20134613.8863128,11774,141.80027,8711399.1497104,0
1635475500000,61515.89,61673.54,61471.28,61587.98,290.81536,1635476399999,17901556.5828331,9479,147.34573,9069905.1067243,0
1635476400000,61587.99,61740.79,61524.06,61599.86,285.11891,1635477299999,17570220.7829508,10711,126.51024,7796471.5330802,0
1635477300000,61599.87,61829.08,61523.82,61827.28,332.3063,1635478199999,20492778.1253346,11620,170.41691,10511138.467654,0
1635478200000,61827.28,61831.82,61545.31,61604.58,349.88802,1635479099999,21569095.0698726,11073,157.29432,9696557.3271269,0
1635479100000,61604.58,61746.54,61526.75,61642.99,234.0406,1635479999999,14422664.2837912,10308,122.95207,7577084.0599895,0
1635480000000,61642.98,61698.51,61502.01,61509.43,259.98395,1635480899999,16011651.8803066,10240,126.74744,7805559.8923865,0
1635480900000,61509.42,61590.47,61503.3,61545.74,155.92965,1635481799999,9598298.6639896,7515,83.71476,5153012.1532716,0
1635481800000,61545.74,61618.32,61401.44,61508.75,289.35147,1635482699999,17800033.0610817,10510,141.49656,8703828.7756654,0
1635482700000,61508.76,61613.5,61400.26,61516.73,187.143,1635483599999,11512459.5486529,9094,96.50674,5937247.0061373,0
1635483600000,61516.72,61590.0,61295.6,61448.03,263.94329,1635484499999,16217649.4917661,11248,140.31221,8620683.5724203,0
1635484500000,61448.02,61449.99,61079.84,61233.03,519.53926,1635485399999,31815095.895689,16849,257.74461,15782704.299678,0
1635485400000,61233.02,61287.4,60692.98,60711.86,884.90937,1635486299999,53971758.781842,25197,375.82374,22926769.0080307,0
1635486300000,60711.86,60997.0,60700.0,60989.09,326.97477,1635487199999,19901510.1290122,13221,188.34336,11463539.6140978,0
1635487200000,60989.09,61270.94,60877.18,61225.14,396.65718,1635488099999,24221801.8030547,14760,226.92859,13857768.1260089,0
1635488100000,61225.14,61270.01,61020.74,61123.89,364.9077,1635488999999,22322662.0348469,10817,158.76832,9710403.9260045,0
1635489000000,61123.89,61400.01,61100.22,61354.93,259.83342,1635489899999,15916039.4617481,10055,118.14672,7237054.1200323,0
1635489900000,61354.94,61426.54,61255.68,61365.31,537.48473,1635490799999,32985505.4040907,13045,238.64652,14645246.0940814,0
1635490800000,61365.31,61365.31,60713.38,60811.02,525.52298,1635491699999,32101083.3085995,14277,272.14633,16623926.9354553,0
1635491700000,60811.01,60895.93,60580.0,60643.69,812.43562,1635492599999,49329327.9467046,19042,435.01958,26415143.1091056,0
1635492600000,60643.69,60744.98,60350.44,60572.66,666.91247,1635493499999,40366946.8671358,20445,339.20869,20532122.946337,0
1635493500000,60572.67,60705.64,60446.89,60569.05,346.66147,1635494399999,20998580.5215968,10467,191.46222,11598475.3212391,0
1635494400000,60569.81,60940.29,60420.01,60930.14,755.96282,1635495299999,45855952.3950836,17821,341.22824,20713153.603396,0
1635495300000,60930.14,60980.87,60445.64,60555.19,410.54334,1635496199999,24933257.4973782,11420,203.72038,12369214.8152701,0
1635496200000,60555.2,60762.56,60528.96,60636.8,230.10985,1635497099999,13959515.0798441,8828,107.80671,6539923.014455,0
1635497100000,60636.81,60989.48,60624.12,60950.03,914.66079,1635497999999,55636248.9866752,15870,498.77328,30341832.616236,0
1635498000000,60950.03,61237.09,60785.88,61232.23,567.7901,1635498899999,34624830.5330958,16189,242.14959,14770336.4043642,0
1635498900000,61232.23,61358.28,60914.13,60999.99,426.14979,1635499799999,26048190.0087353,15220,216.16001,13214577.9582843,0
1635499800000,60999.99,61070.26,60844.93,60880.52,326.42473,1635500699999,19896148.3950744,11219,157.30992,9588618.8052764,0
1635500700000,60880.52,61000.0,60800.0,60858.0,254.48432,1635501599999,15494389.2209939,9673,135.51013,8250874.9393217,0
1635501600000,60858.01,61052.63,60777.01,60866.77,246.42112,1635502499999,15006555.9723614,13212,130.77395,7963223.9131519,0
1635502500000,60866.77,60988.87,60499.0,60689.63,520.56661,1635503399999,31594112.2303551,16388,184.77986,11222900.879208,0
