OpenTime,OpenPrice,HighPrice,LowPrice,ClosePrice,Volume,CloseTime,QuoteVolume,Count,TakerBuyVolume,TakerBuyQuoteVolume,Ignore
1653177600000,29445.07,29460.95,29397.64,29405.4,178.30623,1653178499999,5247123.5010619,6919,74.84026,2202213.3632023,0
1653178500000,29405.4,29488.86,29396.2,29469.12,148.03782,1653179399999,4360523.8365138,5207,80.57216,2373283.1271548,0
1653179400000,29469.12,29505.0,29445.09,29453.9,121.53288,1653180299999,3582920.4464213,4870,58.21887,1716171.0195753,0
1653180300000,29453.9,29492.35,29450.0,29474.8,80.29732,1653181199999,2366576.167457,4037,42.7329,1259375.9081334,0
1653181200000,29474.81,29513.55,29474.8,29500.32,120.61492,1653182099999,3558219.3233901,5485,52.33364,1543825.1977814,0
1653182100000,29500.33,29545.75,29484.68,29490.34,248.06107,1653182999999,7320085.6831614,7738,85.54454,2524150.8087809,0
1653183000000,29490.33,29533.94,29490.31,29514.38,92.77938,1653183899999,2738463.171852,5131,49.07749,1448609.2729301,0
1653183900000,29514.37,29516.17,29488.59,29505.7,81.67778,1653184799999,2409500.2549762,4004,40.64341,1198913.8805506,0
1653184800000,29505.7,29516.23,29480.54,29511.46,143.23399,1653185699999,4224875.0434986,4893,77.15603,2275812.0915649,0
1653185700000,29511.45,29511.47,29398.0,29442.9,353.75416,1653186599999,10417786.9865751,6403,140.87053,4146866.9548147,0
1653186600000,29442.9,29453.06,29365.88,29374.34,229.30043,1653187499999,6741129.1625057,6896,100.44571,2952615.0119084,0
1653187500000,29374.35,29408.39,29370.01,29400.17,174.84229,1653188399999,5138050.5097923,4555,119.51979,3512018.6557065,0
1653188400000,29400.18,29490.0,29379.05,29471.98,258.5692,1653189299999,7615042.8184528,7232,118.55819,3491665.8458996,0
1653189300000,29471.98,29484.95,29412.99,29441.52,185.23797,1653190199999,5452225.6555265,4747,107.5011,3163471.4690941,0
