OpenTime,OpenPrice,HighPrice,LowPrice,ClosePrice,Volume,CloseTime,QuoteVolume,Count,TakerBuyVolume,TakerBuyQuoteVolume,Ignore
1668729600000,16692.56,16940.0,16682.06,16851.45,7081.03576,1668730499999,119123491.351995,118099,3696.30482,62176903.6157461,0
1668730500000,16849.37,16881.98,16815.25,16860.33,4513.55419,1668731399999,76069042.2716381,101557,2252.99562,37970366.0528373,0
1668731400000,16860.33,16930.11,16835.16,16907.7,4170.18304,1668732299999,70416354.7867164,94542,2120.08214,35800959.8473006,0
1668732300000,16906.81,16971.99,16875.47,16950.74,3860.48504,1668733199999,65283632.5003907,84942,1886.85953,31906803.5161697,0
1668733200000,16950.74,17011.0,16899.6,16913.36,5031.43928,1668734099999,85288978.6067562,110538,2605.45117,44171273.5572976,0
1668734100000,16913.36,16921.2,16886.27,16900.75,2315.84771,1668734999999,39143340.7356491,61413,1132.70548,19146207.7661118,0
1668735000000,16900.75,16908.65,16859.73,16865.37,2260.30679,1668735899999,38146960.214169,59618,1130.51036,19079650.383767,0
1668735900000,16865.37,16895.36,16854.37,16889.82,1223.72229,1668736799999,20646544.7960332,42232,645.60181,10892914.9450276,0
1668736800000,16889.82,16897.53,16860.01,16866.84,1320.24117,1668737699999,22276920.5018513,41157,657.9634,11102354.1271731,0
1668737700000,16867.14,16883.7,16842.68,16880.37,1732.48898,1668738599999,29214412.9294248,45062,907.32503,15300734.1563975,0
1668738600000,16880.37,16980.1,16867.39,16961.14,3719.25957,1668739499999,62970886.1960998,75795,1916.47639,32444502.9204676,0
1668739500000,16960.95,16963.97,16895.67,16920.13,2661.89429,1668740399999,45059034.1856209,64086,1257.43168,21284907.7719843,0
1668740400000,16919.39,16948.29,16899.16,16908.05,2074.19226,1668741299999,35100160.8787306,55592,978.72886,16562803.0318409,0
1668741300000,16907.71,16944.55,16898.15,16917.24,1816.65497,1668742199999,30722460.1445745,48960,946.61819,16009974.0456438,0
1668742200000,16916.68,16919.69,16896.71,16897.79,1462.10208,1668743099999,24723723.8981469,41060,644.18228,10893253.5553239,0
1668743100000,16897.34,16898.04,16850.0,16854.98,1975.02164,1668743999999,33330372.0636443,50780,956.33816,16139177.1513637,0
1668744000000,16855.75,16869.08,16780.39,16795.63,3089.45467,1668744899999,51975960.0030008,66298,1502.04819,25267747.9438551,0
1668744900000,16794.85,16828.17,16781.66,16785.77,1940.73767,1668745799999,32622940.2894143,51487,984.08065,16542242.0255637,0
1668745800000,16785.77,16821.57,16773.49,16817.57,1902.5566,1668746699999,31970230.7042252,47471,971.31957,16322002.6184275,0
