OpenTime,OpenPrice,HighPrice,LowPrice,ClosePrice,Volume,CloseTime,QuoteVolume,Count,TakerBuyVolume,TakerBuyQuoteVolume,Ignore
1660694400000,23856.15,23960.0,23824.99,23941.82,2465.05792,1660695299999,58906412.4438832,70252,1269.05336,30327626.2174198,0
1660695300000,23940.61,24044.0,23863.1,23899.13,3136.60334,1660696199999,75127443.0518802,87764,1597.38696,38263530.2394638,0
1660696200000,23899.13,24022.67,23893.67,23983.02,2003.25012,1660697099999,48025344.7509174,68004,1051.82038,25215531.5899252,0
1660697100000,23983.02,24040.0,23954.17,24009.66,1541.22754,1660697999999,36980242.4144681,55622,809.95811,19434696.3328078,0
1660698000000,24009.66,24025.7,23962.67,23974.99,1430.1814,1660698899999,34309338.447512,55529,695.08883,16675415.8687685,0
1660698900000,23973.38,24048.87,23951.0,24036.05,1710.85897,1660699799999,41066686.3183245,58040,834.33913,20028569.150696,0
1660699800000,24035.72,24067.0,23958.95,23978.88,2174.64735,1660700699999,52230554.1219827,66396,1090.34914,26189607.8055389,0
1660700700000,23977.6,23990.0,23932.61,23942.92,1377.83083,1660701599999,33005363.914196,47813,677.66401,16233708.6922294,0
1660701600000,23942.92,23960.0,23910.9,23929.61,1147.51899,1660702499999,27466687.1463161,46547,549.81784,13160604.866986,0
1660702500000,23929.61,23944.28,23900.4,23935.02,1192.76201,1660703399999,28529692.9353503,50788,585.76986,14011759.291371,0
1660703400000,23936.3,24058.0,23927.84,24010.54,2130.22731,1660704299999,51148110.8896494,76172,1175.82247,28233465.1364994,0
1660704300000,24009.63,24032.99,23965.6,23991.72,1322.14343,1660705199999,31729626.6894185,52732,699.78416,16793653.3000551,0
1660705200000,23992.62,24077.76,23988.33,24066.45,1541.47776,1660706099999,37037017.4526689,58390,794.6538,19092145.3771439,0
1660706100000,24066.45,24085.0,24041.22,24051.86,1458.79596,1660706999999,35107316.9523021,56436,783.01817,18844743.8425616,0
1660707000000,24051.04,24080.0,24027.56,24039.46,1314.75011,1660707899999,31624363.4701778,51343,690.502,16609525.3444644,0
1660707900000,24040.59,24047.87,23996.88,24006.66,1550.10922,1660708799999,37232637.7064503,50348,679.63652,16324654.906948,0
1660708800000,24006.66,24041.13,24002.64,24013.15,808.77211,1660709699999,19426640.221046,37626,412.76258,9914648.1178884,0
1660709700000,24014.01,24035.4,24009.08,24017.52,926.06625,1660710599999,22245652.0197976,35438,465.38834,11179874.4696972,0
1660710600000,24017.52,24059.77,24010.0,24026.28,1237.94419,1660711499999,29750802.4735763,40832,691.93203,16630428.6161096,0
1660711500000,24027.0,24090.0,24025.0,24068.29,1366.84845,1660712399999,32892745.083254,54173,740.23333,17813580.2351103,0
1660712400000,24068.29,24114.65,24060.0,24092.21,1512.48255,1660713299999,36437120.9172263,58003,822.4054,19812842.5757966,0
1660713300000,24092.21,24144.71,24064.55,24132.09,1762.64105,1660714199999,42498620.3093198,64276,935.29949,22550943.1616589,0
1660714200000,24132.95,24166.43,24081.88,24125.38,1930.0076,1660715099999,46560447.8371883,62474,1039.04617,25066857.6327899,0
1660715100000,24125.38,24171.48,24123.91,24165.26,1974.50688,1660715999999,47682896.724707,68807,1007.96829,24342135.6685608,0
1660716000000,24165.26,24419.99,24158.07,24335.52,4982.73303,1660716899999,121212477.921421,142734,2728.59183,66360096.5516987,0
1660716900000,24336.46,24409.76,24333.0,24383.09,2256.05467,1660717799999,54989334.187543,86691,1178.66406,28730013.4187384,0
1660717800000,24384.68,24446.71,24325.19,24410.81,3167.19217,1660718699999,77265148.1128661,105201,1637.02219,39937724.5380417,0
1660718700000,24409.15,24432.25,24364.07,24403.86,2046.9005,1660719599999,49940407.7541464,73237,1054.09698,25718450.7122884,0
1660719600000,24403.86,24427.03,24316.91,24356.96,2201.82238,1660720499999,53644157.3681422,83111,1053.71547,25672640.4539025,0
1660720500000,24355.6,24376.58,23975.0,24056.12,4985.44158,1660721399999,120327350.2063117,128165,2186.35311,52765624.1292026,0
1660721400000,24056.12,24068.75,23823.0,23857.99,6211.51314,1660722299999,148603813.4480588,157326,2997.56149,71719975.8243831,0
1660722300000,23855.56,23937.38,23759.3,23786.42,4768.81078,1660723199999,113619966.3525318,129564,2267.54504,54030422.1419279,0
1660723200000,23788.32,23838.55,23735.0,23796.17,3669.91478,1660724099999,87280947.1250294,118691,1850.83163,44021590.4171225,0
1660724100000,23796.49,23873.95,23746.43,23758.21,2701.32144,1660724999999,64314553.3850781,96531,1428.22026,34004340.9620575,0
1660725000000,23759.78,23834.66,23756.13,23833.14,1818.46503,1660725899999,43289657.4884395,69703,950.67249,22630836.5414448,0
1660725900000,23832.2,23833.64,23772.0,23808.54,1410.44987,1660726799999,33570767.3680857,59149,712.68915,16963738.0663335,0
1660726800000,23808.54,23855.94,23803.03,23846.38,1342.28747,1660727699999,31987744.4607098,55691,743.91838,17728192.5501104,0
1660727700000,23846.38,23883.32,23795.0,23873.97,1590.57117,1660728599999,37927941.3422129,60131,828.47992,19757307.1261969,0
1660728600000,23874.78,23924.97,23841.66,23853.07,1905.3153,1660729499999,45502409.3353531,69085,986.10828,23550302.6430496,0
1660729500000,23853.07,23856.0,23802.25,23833.71,1307.47242,1660730399999,31157294.4046912,53528,655.98933,15632638.5994977,0
1660730400000,23832.9,23839.03,23700.0,23716.03,2064.22459,1660731299999,49078685.4379122,71145,923.45771,21963357.3720242,0
1660731300000,23713.94,23787.74,23698.69,23774.24,2125.7196,1660732199999,50484667.9846402,77062,1088.46006,25851000.0833354,0
1660732200000,23774.24,23794.36,23722.07,23762.63,1835.77029,1660733099999,43631702.2012554,66540,884.44166,21020890.788267,0
1660733100000,23763.79,23801.22,23742.0,23794.07,1590.29572,1660733999999,37792454.7143404,60719,848.49046,20165010.0642103,0
1660734000000,23795.63,23828.63,23780.43,23805.15,1385.39507,1660734899999,32977858.65277,52783,726.49429,17293847.7826224,0
1660734900000,23806.3,23824.34,23750.0,23762.54,1543.33919,1660735799999,36713031.7544247,56512,773.34105,18397297.1555165,0
1660735800000,23763.85,23773.5,23730.58,23747.91,1539.34348,1660736699999,36564453.4412688,58055,749.30735,17799152.1288105,0
1660736700000,23747.91,23773.39,23690.79,23746.65,1672.49674,1660737599999,39695428.1155528,60716,767.89121,18226756.1338092,0
1660737600000,23746.65,23760.68,23680.0,23714.83,1970.69423,1660738499999,46763816.7202268,77545,969.13279,22998569.4366164,0
1660738500000,23714.83,23717.54,23537.38,23617.46,5645.32816,1660739399999,133261784.9463526,146717,2626.96313,62008071.6029967,0
1660739400000,23615.45,23739.47,23527.22,23707.24,4684.40216,1660740299999,110747641.8072401,135642,2375.27589,56157310.3499399,0
1660740300000,23708.68,23736.51,23659.08,23671.55,2248.44335,1660741199999,53287012.8535431,82496,1113.11511,26381637.4178769,0
1660741200000,23671.25,23683.29,23576.28,23609.74,2702.73714,1660742099999,63868947.9459518,94575,1262.58652,29838056.7027856,0
1660742100000,23609.74,23650.86,23571.34,23631.15,2045.70361,1660742999999,48314339.3899518,75584,1034.40688,24430663.9027288,0
