OpenTime,OpenPrice,HighPrice,LowPrice,ClosePrice,Volume,CloseTime,QuoteVolume,Count,TakerBuyVolume,TakerBuyQuoteVolume,Ignore
1636502400000,66947.67,67222.4,66800.0,67107.35,644.39952,1636503299999,43195660.8932853,17442,256.56892,17196580.7682046,0
1636503300000,67107.34,67378.7,67075.19,67282.97,369.22425,1636504199999,24830789.6790352,13417,166.85701,11221897.4705668,0
1636504200000,67282.97,67299.76,66882.08,66882.09,460.10234,1636505099999,30864016.9763851,13448,195.31433,13104250.0369001,0
1636505100000,66882.09,67032.66,66763.56,66996.82,357.27907,1636505999999,23900239.1195053,12151,187.81178,12563435.1035526,0
1636506000000,66996.81,67166.66,66853.27,67103.9,230.97024,1636506899999,15478215.5612783,11250,114.57698,7679364.3502951,0
1636506900000,67103.89,67183.42,66958.09,67168.51,226.34054,1636507799999,15172386.6278473,9523,106.16099,7115873.0115077,0
1636507800000,67168.51,67300.0,67020.25,67250.42,261.94766,1636508699999,17606508.640304,9461,141.10513,9484381.5143151,0
1636508700000,67251.69,67263.0,66973.68,67018.36,151.02449,1636509599999,10131854.2181966,7747,65.06221,4364405.5420631,0
1636509600000,67018.37,67140.0,66981.23,67079.15,169.66646,1636510499999,11382795.3921393,8672,81.70626,5480951.032893,0
1636510500000,67079.15,67185.62,67000.0,67078.72,213.81598,1636511399999,14344060.3843724,6599,144.68585,9706660.8698016,0
1636511400000,67078.72,67095.0,66818.2,66821.47,234.2355,1636512299999,15678352.108956,7719,115.29386,7716796.8676647,0
1636512300000,66821.46,66896.01,66787.7,66815.32,186.5355,1636513199999,12470053.4121821,7458,90.93385,6078632.1686573,0
1636513200000,66815.32,66815.32,66460.01,66462.06,593.19103,1636514099999,39498423.2815175,20068,226.71384,15097692.4503906,0
1636514100000,66462.06,66541.79,66355.05,66369.3,462.18123,1636514999999,30711154.2451977,14951,228.48701,15182334.8330582,0
1636515000000,66369.3,66640.0,66358.08,66401.01,443.56323,1636515899999,29488442.3860683,14825,238.10743,15830952.2105191,0
1636515900000,66401.0,66545.76,66401.0,66487.23,216.19798,1636516799999,14369056.7066278,9857,118.49214,7875495.9418773,0
1636516800000,66487.23,66541.13,66255.55,66345.99,395.40081,1636517699999,26242188.3704829,16880,196.28615,13026916.1132244,0
1636517700000,66346.0,66560.0,66345.99,66455.89,319.83148,1636518599999,21245882.0732544,12115,178.31305,11844767.6431111,0
1636518600000,66455.89,66622.15,66424.44,66571.13,235.22031,1636519499999,15649883.4584367,10607,126.26626,8400691.0468491,0
1636519500000,66571.12,66672.78,66502.72,66641.17,250.476,1636520399999,16684422.1926825,9479,102.12564,6802454.5424592,0
1636520400000,66641.16,66653.54,66382.66,66394.82,191.35893,1636521299999,12726271.2009047,9421,87.19241,5798879.600083,0
